date,country_code,indicator_code,value
1959-02-01,DE,116,24.95
1959-01-01,DE,116,24.44
1958-12-01,DE,116,26.53
1958-11-01,DE,116,28.08
1958-10-01,DE,116,26.13
1958-09-01,DE,116,25.66
1958-08-01,DE,116,24.48
1958-07-01,DE,116,23.9
1958-06-01,DE,116,25.72
1958-05-01,DE,116,26.09
1958-04-01,DE,116,25.56
1958-03-01,DE,116,25.25
1958-02-01,DE,116,24.34
1958-01-01,DE,116,23.93
2020-02-01,DE,117,0.4
2020-01-01,DE,117,2.9
2019-12-01,DE,117,-2.1
2019-11-01,DE,117,1.1
2019-10-01,DE,117,-1.5
2019-09-01,DE,117,-1.1
2019-08-01,DE,117,0.7
2019-07-01,DE,117,-0.5
2019-06-01,DE,117,-1.1
2019-05-01,DE,117,0.9
2019-04-01,DE,117,-2.5
2019-03-01,DE,117,0.9
2019-02-01,DE,117,0.2
2019-01-01,DE,117,-1.5
2018-12-01,DE,117,0.7
2018-11-01,DE,117,-1.1
2018-10-01,DE,117,-0.8
2018-09-01,DE,117,0.0
2018-08-01,DE,117,0.3
2018-07-01,DE,117,-1.8
2018-06-01,DE,117,-0.4
2018-05-01,DE,117,1.8
2018-04-01,DE,117,-0.6
2018-03-01,DE,117,1.4
2018-02-01,DE,117,-2.1
2018-01-01,DE,117,-0.5
2017-12-01,DE,117,-0.8
2017-11-01,DE,117,4.5
2017-10-01,DE,117,-2.1
2017-09-01,DE,117,-0.7
2017-08-01,DE,117,2.1
2017-07-01,DE,117,0.9
2017-06-01,DE,117,-0.2
2017-05-01,DE,117,0.5
2017-04-01,DE,117,1.2
2017-03-01,DE,117,-0.3
2017-02-01,DE,117,1.0
2017-01-01,DE,117,1.6
2016-12-01,DE,117,-1.9
2016-11-01,DE,117,0.1
2016-10-01,DE,117,0.3
2016-09-01,DE,117,-0.2
2016-08-01,DE,117,1.8
2016-07-01,DE,117,-1.5
2016-06-01,DE,117,2.1
2016-05-01,DE,117,-1.8
2016-04-01,DE,117,0.7
2016-03-01,DE,117,-1.1
2016-02-01,DE,117,-0.3
2016-01-01,DE,117,1.9
2015-12-01,DE,117,0.7
2015-11-01,DE,117,-0.7
2015-10-01,DE,117,0.6
2015-09-01,DE,117,0.5
2015-08-01,DE,117,-2.5
2015-07-01,DE,117,1.4
2015-06-01,DE,117,-0.1
2015-05-01,DE,117,0.1
2015-04-01,DE,117,0.6
2015-03-01,DE,117,0.1
2015-02-01,DE,117,0.5
2015-01-01,DE,117,-2.3
2014-12-01,DE,117,1.7
2014-11-01,DE,117,0.1
2014-10-01,DE,117,0.2
2014-09-01,DE,117,2.5
2014-08-01,DE,117,-4.2
2014-07-01,DE,117,2.1
2014-06-01,DE,117,0.1
2014-05-01,DE,117,-0.7
2014-04-01,DE,117,-0.4
2014-03-01,DE,117,0.4
2014-02-01,DE,117,0.1
2014-01-01,DE,117,-0.5
2013-12-01,DE,117,0.1
2013-11-01,DE,117,2.3
2013-10-01,DE,117,-0.7
2013-09-01,DE,117,-0.5
2013-08-01,DE,117,2.3
2013-07-01,DE,117,-1.7
2013-06-01,DE,117,1.8
2013-05-01,DE,117,-0.6
2013-04-01,DE,117,0.3
2013-03-01,DE,117,1.4
2013-02-01,DE,117,0.8
2013-01-01,DE,117,-1.3
2012-12-01,DE,117,0.8
2012-11-01,DE,117,-0.7
2012-10-01,DE,117,-1.3
2012-09-01,DE,117,-1.3
2012-08-01,DE,117,0.0
2012-07-01,DE,117,1.1
2012-06-01,DE,117,-1.2
2012-05-01,DE,117,2.0
2012-04-01,DE,117,-1.8
2012-03-01,DE,117,1.2
2012-02-01,DE,117,-0.1
2012-01-01,DE,117,0.5
2011-12-01,DE,117,-1.4
2011-11-01,DE,117,-0.7
2011-10-01,DE,117,1.1
2011-09-01,DE,117,-1.5
2011-08-01,DE,117,-0.8
2011-07-01,DE,117,3.1
2011-06-01,DE,117,-1.6
2011-05-01,DE,117,1.2
2011-04-01,DE,117,0.6
2011-03-01,DE,117,0.6
2011-02-01,DE,117,1.2
2011-01-01,DE,117,-0.2
2010-12-01,DE,117,1.6
2010-11-01,DE,117,-0.5
2010-10-01,DE,117,2.2
2010-09-01,DE,117,1.5
2010-08-01,DE,117,1.7
2010-07-01,DE,117,-0.7
2010-06-01,DE,117,-0.3
2010-05-01,DE,117,3.1
2010-04-01,DE,117,1.9
2010-03-01,DE,117,3.4
2010-02-01,DE,117,-1.0
2010-01-01,DE,117,1.0
2009-12-01,DE,117,0.0
2009-11-01,DE,117,1.2
2009-10-01,DE,117,-2.1
2009-09-01,DE,117,4.5
2009-08-01,DE,117,1.3
2009-07-01,DE,117,-1.0
2009-06-01,DE,117,0.8
2009-05-01,DE,117,4.6
2009-04-01,DE,117,-2.9
2009-03-01,DE,117,0.4
2009-02-01,DE,117,-3.1
2009-01-01,DE,117,-8.0
2008-12-01,DE,117,-3.7
2008-11-01,DE,117,-4.4
2008-10-01,DE,117,-2.2
2008-09-01,DE,117,-2.3
2008-08-01,DE,117,2.0
2008-07-01,DE,117,-1.7
2008-06-01,DE,117,1.1
2008-05-01,DE,117,-2.0
2008-04-01,DE,117,0.2
2008-03-01,DE,117,-0.7
2008-02-01,DE,117,-0.3
2008-01-01,DE,117,1.5
2007-12-01,DE,117,1.0
2007-11-01,DE,117,-0.2
2007-10-01,DE,117,0.1
2007-09-01,DE,117,1.0
2007-08-01,DE,117,0.3
2007-07-01,DE,117,0.7
2007-06-01,DE,117,-0.1
2007-05-01,DE,117,1.8
2007-04-01,DE,117,-0.9
2007-03-01,DE,117,0.5
2007-02-01,DE,117,0.4
2007-01-01,DE,117,0.5
2006-12-01,DE,117,1.0
2006-11-01,DE,117,1.7
2006-10-01,DE,117,-0.2
2006-09-01,DE,117,-0.1
2006-08-01,DE,117,0.7
2006-07-01,DE,117,1.8
2006-06-01,DE,117,-0.6
2006-05-01,DE,117,1.5
2006-04-01,DE,117,2.3
2006-03-01,DE,117,-0.9
2006-02-01,DE,117,0.6
2006-01-01,DE,117,0.6
2005-12-01,DE,117,-0.2
2005-11-01,DE,117,-1.1
2005-10-01,DE,117,2.0
2005-09-01,DE,117,2.8
2005-08-01,DE,117,-2.9
2005-07-01,DE,117,1.5
2005-06-01,DE,117,2.2
2005-05-01,DE,117,-1.3
2005-04-01,DE,117,0.7
2005-03-01,DE,117,1.3
2005-02-01,DE,117,-1.5
2005-01-01,DE,117,3.1
2004-12-01,DE,117,-0.5
2004-11-01,DE,117,-1.7
2004-10-01,DE,117,1.2
2004-09-01,DE,117,-0.2
2004-08-01,DE,117,-1.0
2004-07-01,DE,117,1.2
2004-06-01,DE,117,-0.7
2004-05-01,DE,117,1.1
2004-04-01,DE,117,1.5
2004-03-01,DE,117,-0.6
2004-02-01,DE,117,0.5
2004-01-01,DE,117,-0.9
2003-12-01,DE,117,0.5
2003-11-01,DE,117,1.0
2003-10-01,DE,117,3.1
2003-09-01,DE,117,-0.3
2003-08-01,DE,117,-2.5
2003-07-01,DE,117,2.4
2003-06-01,DE,117,-0.5
2003-05-01,DE,117,-0.9
2003-04-01,DE,117,-0.3
2003-03-01,DE,117,-0.2
2003-02-01,DE,117,0.0
2003-01-01,DE,117,0.8
2002-12-01,DE,117,-1.7
2002-11-01,DE,117,1.8
2002-10-01,DE,117,-0.7
2002-09-01,DE,117,-1.4
2002-08-01,DE,117,2.4
2002-07-01,DE,117,-1.9
2002-06-01,DE,117,2.8
2002-05-01,DE,117,-1.0
2002-04-01,DE,117,0.1
2002-03-01,DE,117,0.3
2002-02-01,DE,117,0.3
2002-01-01,DE,117,0.5
2001-12-01,DE,117,0.6
2001-11-01,DE,117,-1.3
2001-10-01,DE,117,-1.7
2001-09-01,DE,117,-1.3
2001-08-01,DE,117,2.8
2001-07-01,DE,117,-3.1
2001-06-01,DE,117,0.5
2001-05-01,DE,117,1.1
2001-04-01,DE,117,-1.7
2001-03-01,DE,117,-1.7
2001-02-01,DE,117,1.1
2001-01-01,DE,117,-0.2
2000-12-01,DE,117,0.6
2000-11-01,DE,117,0.9
2000-10-01,DE,117,-0.4
2000-09-01,DE,117,0.1
2000-08-01,DE,117,1.0
2000-07-01,DE,117,1.6
2000-06-01,DE,117,-2.2
2000-05-01,DE,117,2.4
2000-04-01,DE,117,1.3
2000-03-01,DE,117,0.1
2000-02-01,DE,117,2.5
2000-01-01,DE,117,-0.8
1999-12-01,DE,117,0.1
1999-11-01,DE,117,-0.1
1999-10-01,DE,117,1.0
1999-09-01,DE,117,-0.4
1999-08-01,DE,117,0.9
1999-07-01,DE,117,0.8
1999-06-01,DE,117,0.0
1999-05-01,DE,117,0.7
1999-04-01,DE,117,0.7
1999-03-01,DE,117,0.7
1999-02-01,DE,117,-1.9
1999-01-01,DE,117,1.6
1998-12-01,DE,117,0.4
1998-11-01,DE,117,-1.3
1998-10-01,DE,117,0.7
1998-09-01,DE,117,-0.7
1998-08-01,DE,117,-2.2
1998-07-01,DE,117,2.1
1998-06-01,DE,117,-0.8
1998-05-01,DE,117,0.5
1998-04-01,DE,117,-0.9
1998-03-01,DE,117,1.3
1998-02-01,DE,117,-0.3
1998-01-01,DE,117,1.1
1997-12-01,DE,117,1.0
1997-11-01,DE,117,0.5
1997-10-01,DE,117,1.4
1997-09-01,DE,117,0.8
1997-08-01,DE,117,-3.3
1997-07-01,DE,117,1.1
1997-06-01,DE,117,4.0
1997-05-01,DE,117,-1.3
1997-04-01,DE,117,-0.4
1997-03-01,DE,117,1.1
1997-02-01,DE,117,1.4
1997-01-01,DE,117,-1.3
1996-12-01,DE,117,0.0
1996-11-01,DE,117,1.4
1996-10-01,DE,117,-1.4
1996-09-01,DE,117,0.9
1996-08-01,DE,117,1.3
1996-07-01,DE,117,-1.1
1996-06-01,DE,117,0.6
1996-05-01,DE,117,0.9
1996-04-01,DE,117,0.0
1996-03-01,DE,117,0.1
1996-02-01,DE,117,-0.9
1996-01-01,DE,117,0.4
1995-12-01,DE,117,0.0
1995-11-01,DE,117,0.6
1995-10-01,DE,117,-2.6
1995-09-01,DE,117,2.0
1995-08-01,DE,117,-1.1
1995-07-01,DE,117,-0.3
1995-06-01,DE,117,-1.1
1995-05-01,DE,117,0.6
1995-04-01,DE,117,0.6
1995-03-01,DE,117,-1.1
1995-02-01,DE,117,1.4
1995-01-01,DE,117,-2.0
1994-12-01,DE,117,0.0
1994-11-01,DE,117,0.6
1994-10-01,DE,117,1.9
1994-09-01,DE,117,1.5
1994-08-01,DE,117,0.0
1994-07-01,DE,117,-0.4
1994-06-01,DE,117,0.7
1994-05-01,DE,117,-0.4
1994-04-01,DE,117,1.2
1994-03-01,DE,117,-0.4
1994-02-01,DE,117,1.5
1994-01-01,DE,117,-0.4
1993-12-01,DE,117,1.2
1993-11-01,DE,117,-0.9
1993-10-01,DE,117,0.0
1993-09-01,DE,117,-0.4
1993-08-01,DE,117,4.3
1993-07-01,DE,117,-2.3
1993-06-01,DE,117,-0.7
1993-05-01,DE,117,0.0
1993-04-01,DE,117,-0.7
1993-03-01,DE,117,0.1
1993-02-01,DE,117,-1.5
1993-01-01,DE,117,-1.2
1992-12-01,DE,117,-1.7
1992-11-01,DE,117,-1.5
1992-10-01,DE,117,-0.1
1992-09-01,DE,117,-0.8
1992-08-01,DE,117,0.3
1992-07-01,DE,117,-1.8
1992-06-01,DE,117,-1.6
1992-05-01,DE,117,-0.7
1992-04-01,DE,117,-0.1
1992-03-01,DE,117,-2.9
1992-02-01,DE,117,1.7
1992-01-01,DE,117,1.2
1991-12-01,DE,117,0.1
1991-11-01,DE,117,1.1
1991-10-01,DE,117,1.5
1991-09-01,DE,117,-0.3
1991-08-01,DE,117,-1.6
1991-07-01,DE,117,-2.9
1991-06-01,DE,117,4.4
1991-05-01,DE,117,-1.6
1991-04-01,DE,117,-0.8
1991-03-01,DE,117,-0.7
1991-02-01,DE,117,-1.2
1991-01-01,DE,117,3.1
1990-12-01,DE,117,0.4
1990-11-01,DE,117,0.0
1990-10-01,DE,117,0.2
1990-09-01,DE,117,0.9
1990-08-01,DE,117,0.6
1990-07-01,DE,117,0.9
1990-06-01,DE,117,0.0
1990-05-01,DE,117,2.6
1990-04-01,DE,117,-1.7
1990-03-01,DE,117,1.0
1990-02-01,DE,117,-0.4
1990-01-01,DE,117,-0.2
1989-12-01,DE,117,1.7
1989-11-01,DE,117,0.4
1989-10-01,DE,117,0.3
1989-09-01,DE,117,0.5
1989-08-01,DE,117,-0.3
1989-07-01,DE,117,0.5
1989-06-01,DE,117,4.0
1989-05-01,DE,117,-4.8
1989-04-01,DE,117,3.0
1989-03-01,DE,117,0.7
1989-02-01,DE,117,-0.4
1989-01-01,DE,117,-1.4
1988-12-01,DE,117,2.2
1988-11-01,DE,117,0.5
1988-10-01,DE,117,0.4
1988-09-01,DE,117,-1.2
1988-08-01,DE,117,4.1
1988-07-01,DE,117,-2.3
1988-06-01,DE,117,1.8
1988-05-01,DE,117,0.0
1988-04-01,DE,117,0.7
1988-03-01,DE,117,-0.5
1988-02-01,DE,117,0.8
1988-01-01,DE,117,-0.5
1987-12-01,DE,117,0.1
1987-11-01,DE,117,0.6
1987-10-01,DE,117,1.6
1987-09-01,DE,117,-1.3
1987-08-01,DE,117,2.2
1987-07-01,DE,117,-1.2
1987-06-01,DE,117,-1.8
1987-05-01,DE,117,1.5
1987-04-01,DE,117,1.4
1987-03-01,DE,117,-0.6
1987-02-01,DE,117,2.0
1987-01-01,DE,117,-1.6
1986-12-01,DE,117,-1.3
1986-11-01,DE,117,1.1
1986-10-01,DE,117,0.3
1986-09-01,DE,117,-0.6
1986-08-01,DE,117,-1.7
1986-07-01,DE,117,1.5
1986-06-01,DE,117,0.5
1986-05-01,DE,117,-1.0
1986-04-01,DE,117,0.5
1986-03-01,DE,117,0.2
1986-02-01,DE,117,0.4
1986-01-01,DE,117,2.0
1985-12-01,DE,117,-3.8
1985-11-01,DE,117,1.9
1985-10-01,DE,117,1.2
1985-09-01,DE,117,1.2
1985-08-01,DE,117,-2.5
1985-07-01,DE,117,1.0
1985-06-01,DE,117,1.2
1985-05-01,DE,117,1.2
1985-04-01,DE,117,-1.1
1985-03-01,DE,117,0.9
1985-02-01,DE,117,0.1
1985-01-01,DE,117,0.0
1984-12-01,DE,117,0.6
1984-11-01,DE,117,0.8
1984-10-01,DE,117,-0.4
1984-09-01,DE,117,2.1
1984-08-01,DE,117,-1.0
1984-07-01,DE,117,12.3
1984-06-01,DE,117,-9.5
1984-05-01,DE,117,0.7
1984-04-01,DE,117,-0.7
1984-03-01,DE,117,-1.6
1984-02-01,DE,117,0.9
1984-01-01,DE,117,-1.2
1983-12-01,DE,117,2.0
1983-11-01,DE,117,1.3
1983-10-01,DE,117,-0.3
1983-09-01,DE,117,2.6
1983-08-01,DE,117,1.0
1983-07-01,DE,117,-4.5
1983-06-01,DE,117,3.4
1983-05-01,DE,117,-0.6
1983-04-01,DE,117,1.0
1983-03-01,DE,117,1.8
1983-02-01,DE,117,-0.9
1983-01-01,DE,117,1.6
1982-12-01,DE,117,0.4
1982-11-01,DE,117,-1.2
1982-10-01,DE,117,-1.1
1982-09-01,DE,117,-0.4
1982-08-01,DE,117,2.1
1982-07-01,DE,117,-3.3
1982-06-01,DE,117,-2.4
1982-05-01,DE,117,0.0
1982-04-01,DE,117,-0.2
1982-03-01,DE,117,1.0
1982-02-01,DE,117,-0.7
1982-01-01,DE,117,0.4
1981-12-01,DE,117,-0.8
1981-11-01,DE,117,-0.8
1981-10-01,DE,117,0.5
1981-09-01,DE,117,0.3
1981-08-01,DE,117,0.1
1981-07-01,DE,117,0.8
1981-06-01,DE,117,-1.1
1981-05-01,DE,117,0.6
1981-04-01,DE,117,-0.9
1981-03-01,DE,117,-0.4
1981-02-01,DE,117,1.9
1981-01-01,DE,117,-0.4
1980-12-01,DE,117,-1.5
1980-11-01,DE,117,1.7
1980-10-01,DE,117,0.5
1980-09-01,DE,117,-3.5
1980-08-01,DE,117,0.2
1980-07-01,DE,117,0.5
1980-06-01,DE,117,-0.9
1980-05-01,DE,117,-0.1
1980-04-01,DE,117,-1.0
1980-03-01,DE,117,-0.9
1980-02-01,DE,117,-0.1
1980-01-01,DE,117,-0.6
1979-12-01,DE,117,1.5
1979-11-01,DE,117,2.6
1979-10-01,DE,117,-1.1
1979-09-01,DE,117,0.2
1979-08-01,DE,117,-1.4
1979-07-01,DE,117,0.5
1979-06-01,DE,117,2.0
1979-05-01,DE,117,-0.2
1979-04-01,DE,117,2.3
1979-03-01,DE,117,0.4
1979-02-01,DE,117,-0.3
1979-01-01,DE,117,-2.7
1978-12-01,DE,117,3.2
1978-11-01,DE,117,0.8
1978-10-01,DE,117,-1.7
1978-09-01,DE,117,1.6
1978-08-01,DE,117,1.0
1978-07-01,DE,117,2.7
1978-06-01,DE,117,-0.6
1978-05-01,DE,117,-0.1
1978-04-01,DE,117,2.0
1978-03-01,DE,117,-2.1
1978-02-01,DE,117,-2.9
1978-01-01,DE,117,0.3
1977-12-01,DE,117,2.0
1977-11-01,DE,117,0.1
1977-10-01,DE,117,-0.4
1977-09-01,DE,117,0.2
1977-08-01,DE,117,4.3
1977-07-01,DE,117,-4.3
1977-06-01,DE,117,1.8
1977-05-01,DE,117,-0.9
1977-04-01,DE,117,-1.1
1977-03-01,DE,117,1.1
1977-02-01,DE,117,-0.3
1977-01-01,DE,117,0.6
1976-12-01,DE,117,0.1
1976-11-01,DE,117,0.1
1976-10-01,DE,117,0.0
1976-09-01,DE,117,1.0
1976-08-01,DE,117,3.2
1976-07-01,DE,117,-3.7
1976-06-01,DE,117,1.1
1976-05-01,DE,117,0.6
1976-04-01,DE,117,0.6
1976-03-01,DE,117,-0.1
1976-02-01,DE,117,2.0
1976-01-01,DE,117,1.3
1975-12-01,DE,117,-0.1
1975-11-01,DE,117,1.4
1975-10-01,DE,117,1.9
1975-09-01,DE,117,-0.1
1975-08-01,DE,117,3.9
1975-07-01,DE,117,-2.5
1975-06-01,DE,117,-0.2
1975-05-01,DE,117,-0.4
1975-04-01,DE,117,-1.3
1975-03-01,DE,117,1.1
1975-02-01,DE,117,-0.5
1975-01-01,DE,117,0.6
1974-12-01,DE,117,-5.0
1974-11-01,DE,117,-0.7
1974-10-01,DE,117,-0.3
1974-09-01,DE,117,0.2
1974-08-01,DE,117,-2.5
1974-07-01,DE,117,-0.1
1974-06-01,DE,117,-1.2
1974-05-01,DE,117,1.1
1974-04-01,DE,117,0.2
1974-03-01,DE,117,-0.6
1974-02-01,DE,117,-0.3
1974-01-01,DE,117,0.3
1973-12-01,DE,117,-1.0
1973-11-01,DE,117,0.6
1973-10-01,DE,117,-0.7
1973-09-01,DE,117,-0.4
1973-08-01,DE,117,5.5
1973-07-01,DE,117,-3.6
1973-06-01,DE,117,-0.7
1973-05-01,DE,117,0.7
1973-04-01,DE,117,-0.6
1973-03-01,DE,117,0.7
1973-02-01,DE,117,0.9
1973-01-01,DE,117,0.9
1972-12-01,DE,117,1.3
1972-11-01,DE,117,1.8
1972-10-01,DE,117,1.3
1972-09-01,DE,117,0.1
1972-08-01,DE,117,-0.5
1972-07-01,DE,117,0.5
1972-06-01,DE,117,0.6
1972-05-01,DE,117,-0.6
1972-04-01,DE,117,0.0
1972-03-01,DE,117,1.1
1972-02-01,DE,117,0.7
1972-01-01,DE,117,3.9
1971-12-01,DE,117,-1.7
1971-11-01,DE,117,-1.5
1971-10-01,DE,117,0.2
1971-09-01,DE,117,2.4
1971-08-01,DE,117,-4.2
1971-07-01,DE,117,1.6
1971-06-01,DE,117,1.1
1971-05-01,DE,117,-1.5
1971-04-01,DE,117,0.7
1971-03-01,DE,117,-0.5
1971-02-01,DE,117,-1.1
1971-01-01,DE,117,1.8
1970-12-01,DE,117,1.7
1970-11-01,DE,117,-0.9
1970-10-01,DE,117,0.7
1970-09-01,DE,117,-0.5
1970-08-01,DE,117,-1.6
1970-07-01,DE,117,1.2
1970-06-01,DE,117,-1.0
1970-05-01,DE,117,0.7
1970-04-01,DE,117,1.0
1970-03-01,DE,117,0.4
1970-02-01,DE,117,1.4
1970-01-01,DE,117,0.3
1969-12-01,DE,117,-0.8
1969-11-01,DE,117,1.5
1969-10-01,DE,117,1.3
1969-09-01,DE,117,-0.9
1969-08-01,DE,117,2.8
1969-07-01,DE,117,-0.3
1969-06-01,DE,117,1.1
1969-05-01,DE,117,1.2
1969-04-01,DE,117,0.7
1969-03-01,DE,117,1.1
1969-02-01,DE,117,0.5
1969-01-01,DE,117,1.1
1968-12-01,DE,117,-0.6
1968-11-01,DE,117,3.4
1968-10-01,DE,117,0.3
1968-09-01,DE,117,-1.6
1968-08-01,DE,117,6.8
1968-07-01,DE,117,-1.3
1968-06-01,DE,117,1.7
1968-05-01,DE,117,2.6
1968-04-01,DE,117,0.3
1968-03-01,DE,117,1.3
1968-02-01,DE,117,2.3
1968-01-01,DE,117,-7.9
1967-12-01,DE,117,5.8
1967-11-01,DE,117,1.0
1967-10-01,DE,117,1.1
1967-09-01,DE,117,2.6
1967-08-01,DE,117,-2.1
1967-07-01,DE,117,2.6
1967-06-01,DE,117,2.2
1967-05-01,DE,117,-1.5
1967-04-01,DE,117,0.7
1967-03-01,DE,117,-0.7
1967-02-01,DE,117,-1.2
1967-01-01,DE,117,-1.8
1966-12-01,DE,117,0.2
1966-11-01,DE,117,-1.3
1966-10-01,DE,117,-1.3
1966-09-01,DE,117,0.6
1966-08-01,DE,117,-1.3
1966-07-01,DE,117,-1.1
1966-06-01,DE,117,1.3
1966-05-01,DE,117,-0.5
1966-04-01,DE,117,-1.7
1966-03-01,DE,117,2.0
1966-02-01,DE,117,0.2
1966-01-01,DE,117,-0.8
1965-12-01,DE,117,2.4
1965-11-01,DE,117,-0.6
1965-10-01,DE,117,-0.5
1965-09-01,DE,117,0.8
1965-08-01,DE,117,1.0
1965-07-01,DE,117,0.5
1965-06-01,DE,117,-0.8
1965-05-01,DE,117,0.0
1965-04-01,DE,117,0.5
1965-03-01,DE,117,-0.2
1965-02-01,DE,117,-0.8
1965-01-01,DE,117,2.3
1964-12-01,DE,117,1.2
1964-11-01,DE,117,-0.2
1964-10-01,DE,117,1.3
1964-09-01,DE,117,0.2
1964-08-01,DE,117,-0.8
1964-07-01,DE,117,2.0
1964-06-01,DE,117,1.7
1964-05-01,DE,117,-0.2
1964-04-01,DE,117,0.2
1964-03-01,DE,117,-1.7
1964-02-01,DE,117,2.4
1964-01-01,DE,117,4.7
1963-12-01,DE,117,-3.0
1963-11-01,DE,117,0.7
1963-10-01,DE,117,1.6
1963-09-01,DE,117,-2.8
1963-08-01,DE,117,3.6
1963-07-01,DE,117,1.7
1963-06-01,DE,117,-0.9
1963-05-01,DE,117,0.7
1963-04-01,DE,117,0.9
1963-03-01,DE,117,2.5
1963-02-01,DE,117,-1.1
1963-01-01,DE,117,0.4
1962-12-01,DE,117,-2.6
1962-11-01,DE,117,2.1
1962-10-01,DE,117,-1.7
1962-09-01,DE,117,-2.3
1962-08-01,DE,117,4.3
1962-07-01,DE,117,0.2
1962-06-01,DE,117,0.0
1962-05-01,DE,117,3.1
1962-04-01,DE,117,-1.5
1962-03-01,DE,117,0.0
1962-02-01,DE,117,-0.2
1962-01-01,DE,117,4.4
1961-12-01,DE,117,2.2
1961-11-01,DE,117,0.3
1961-10-01,DE,117,-0.8
1961-09-01,DE,117,0.8
1961-08-01,DE,117,-0.8
1961-07-01,DE,117,1.9
1961-06-01,DE,117,0.0
1961-05-01,DE,117,-2.1
1961-04-01,DE,117,0.0
1961-03-01,DE,117,1.0
1961-02-01,DE,117,0.6
1961-01-01,DE,117,1.3
1960-12-01,DE,117,1.4
1960-11-01,DE,117,-0.8
1960-10-01,DE,117,2.1
1960-09-01,DE,117,1.7
1960-08-01,DE,117,-1.9
1960-07-01,DE,117,3.7
1960-06-01,DE,117,0.5
1960-05-01,DE,117,-1.2
1960-04-01,DE,117,2.3
1960-03-01,DE,117,1.4
1960-02-01,DE,117,-0.6
1960-01-01,DE,117,1.6
1959-12-01,DE,117,0.4
1959-11-01,DE,117,-1.0
1959-10-01,DE,117,3.8
1959-09-01,DE,117,-1.4
1959-08-01,DE,117,5.9
1959-07-01,DE,117,-1.4
1959-06-01,DE,117,-0.5
1959-05-01,DE,117,4.1
1959-04-01,DE,117,-0.2
1959-03-01,DE,117,1.1
1959-02-01,DE,117,0.3
1959-01-01,DE,117,-0.9
1958-12-01,DE,117,0.4
1958-11-01,DE,117,2.3
1958-10-01,DE,117,0.0
1958-09-01,DE,117,-2.8
1958-08-01,DE,117,3.8
1958-07-01,DE,117,-1.7
1958-06-01,DE,117,1.2
1958-05-01,DE,117,1.2
1958-04-01,DE,117,-3.1
1958-03-01,DE,117,1.6
1958-02-01,DE,117,0.4
2019-01-01,DE,119,1.4
2018-01-01,DE,119,1.7
2017-01-01,DE,119,1.5
2016-01-01,DE,119,0.5
2015-01-01,DE,119,0.5
2014-01-01,DE,119,0.9
2013-01-01,DE,119,1.5
2012-01-01,DE,119,2.0
2011-01-01,DE,119,2.1
2010-01-01,DE,119,1.1
2009-01-01,DE,119,0.3
2008-01-01,DE,119,2.6
2007-01-01,DE,119,2.3
2006-01-01,DE,119,1.6
2005-01-01,DE,119,1.5
2004-01-01,DE,119,1.7
2003-01-01,DE,119,1.0
2002-01-01,DE,119,1.4
2001-01-01,DE,119,2.0
2000-01-01,DE,119,1.4
1999-01-01,DE,119,0.6
1998-01-01,DE,119,0.9
1997-01-01,DE,119,1.9
1996-01-01,DE,119,1.4
1995-01-01,DE,119,1.7
1994-01-01,DE,119,2.7
1993-01-01,DE,119,4.5
1992-01-01,DE,119,5.1
1991-01-01,DE,119,4.0
1990-01-01,DE,119,2.7
1989-01-01,DE,119,2.8
1988-01-01,DE,119,1.3
1987-01-01,DE,119,0.2
1986-01-01,DE,119,-0.1
1985-01-01,DE,119,2.1
1984-01-01,DE,119,2.4
1983-01-01,DE,119,3.3
1982-01-01,DE,119,5.2
1981-01-01,DE,119,6.3
1980-01-01,DE,119,5.4
1979-01-01,DE,119,4.0
1978-01-01,DE,119,2.7
1977-01-01,DE,119,3.7
1976-01-01,DE,119,4.2
1975-01-01,DE,119,5.9
1974-01-01,DE,119,7.0
1973-01-01,DE,119,7.0
1972-01-01,DE,119,5.5
1971-01-01,DE,119,5.2
1970-01-01,DE,119,3.5
1969-01-01,DE,119,1.9
1968-01-01,DE,119,1.5
1967-01-01,DE,119,1.8
1966-01-01,DE,119,3.5
1965-01-01,DE,119,3.2
1964-01-01,DE,119,2.3
1963-01-01,DE,119,3.0
1962-01-01,DE,119,2.8
1961-01-01,DE,119,2.3
1960-01-01,DE,119,1.5
2019-01-01,DE,120,1.4
2018-01-01,DE,120,1.7
2017-01-01,DE,120,1.5
2016-01-01,DE,120,0.5
2015-01-01,DE,120,0.5
2014-01-01,DE,120,0.9
2013-01-01,DE,120,1.5
2012-01-01,DE,120,2.0
2011-01-01,DE,120,2.1
2010-01-01,DE,120,1.1
2009-01-01,DE,120,0.3
2008-01-01,DE,120,2.6
2007-01-01,DE,120,2.3
2006-01-01,DE,120,1.6
2005-01-01,DE,120,1.5
2004-01-01,DE,120,1.7
2003-01-01,DE,120,1.0
2002-01-01,DE,120,1.4
2001-01-01,DE,120,2.0
2000-01-01,DE,120,1.4
1999-01-01,DE,120,0.6
1998-01-01,DE,120,0.9
1997-01-01,DE,120,1.9
1996-01-01,DE,120,1.4
1995-01-01,DE,120,1.7
1994-01-01,DE,120,2.7
1993-01-01,DE,120,4.5
1992-01-01,DE,120,5.1
1991-01-01,DE,120,4.0
1990-01-01,DE,120,2.7
1989-01-01,DE,120,2.8
1988-01-01,DE,120,1.3
1987-01-01,DE,120,0.2
1986-01-01,DE,120,-0.1
1985-01-01,DE,120,2.1
